Page,Price,Type,Beds,Baths,Area,Location
193,"640,000",Apartment,3,3,154 Sq. M.,"Alawali, West Riyadh, Riyadh"
193,"730,000",Apartment,4,3,112 Sq. M.,"Al Rawdah, North Jeddah, Jeddah"
193,"3,600,000",Villa,11,5,375 Sq. M.,"Al Mahdiyah, West Riyadh, Riyadh"
193,"750,000",Floor,3,3,179 Sq. M.,"Okaz, South Riyadh, Riyadh"
193,"680,000",Villa,5,4,250 Sq. M.,"Al Muruj, Unayzah"
193,"1,050,000",Villa,6,4,319 Sq. M.,"Al Sawari, Al Khobar"
193,"1,200,000",Villa,5,5,452 Sq. M.,"Al Hajla Al Jadid, Makkah"
193,"920,000",Apartment,3,2,180 Sq. M.,"Al Kudaa, Taif"
193,"800,000",Villa,4,4,301 Sq. M.,"Rahba District, Taif"
193,"1,450,000",Villa,6,5,275 Sq. M.,"Al Rahmanyah, North Jeddah, Jeddah"
193,"1,050,000",Villa,4,4,290 Sq. M.,"Al Salehiyah, North Jeddah, Jeddah"
193,"380,000",Apartment,3,2,105 Sq. M.,"Hajr, Dammam"
193,"680,000",Floor,3,2,143 Sq. M.,"Al Hazm, West Riyadh, Riyadh"
193,"600,000",Floor,3,3,219 Sq. M.,"Al Dhurfah, Khamis Mushait"
194,"650,000",Apartment,6,5,225 Sq. M.,"Al Maealaa, Ahad Rafidah"
194,"850,000",Floor,3,2,201 Sq. M.,"Al Riyadh, North Jeddah, Jeddah"
194,"430,000",Apartment,2,2,110 Sq. M.,"Al Waha, North Jeddah, Jeddah"
194,"750,000",Apartment,3,3,260 Sq. M.,"Umm Al Rasf, Taif"
194,"630,000",Apartment,3,3,123 Sq. M.,"Dhahrat Laban, West Riyadh, Riyadh"
194,"920,000",Apartment,4,4,166 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
194,"430,000",Apartment,3,2,212 Sq. M.,Aleasiluh 1 Jazan Region
194,"800,000",Villa,4,4,301 Sq. M.,"Rahba District, Taif"
194,"710,000",Apartment,4,3,132 Sq. M.,"Al Rahmanyah, North Jeddah, Jeddah"
194,"550,000",Apartment,5,3,150 Sq. M.,"Al Waha, North Jeddah, Jeddah"
194,"595,000",Apartment,4,4,151 Sq. M.,"Al Rayaan, North Jeddah, Jeddah"
194,"1,150,000",Villa,4,5,388 Sq. M.,"Akhbab, Taif"
194,"800,000",Apartment,3,4,137 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
194,"11,275,000",Residential Building,11,7,,"Dhahrat Laban, West Riyadh, Riyadh"
194,"1,000,000",Floor,4,5,162 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
194,"850,000",Apartment,6,4,205 Sq. M.,"Mishrifah, North Jeddah, Jeddah"
194,"570,000",Apartment,4,3,128 Sq. M.,"Al Manar, North Jeddah, Jeddah"
194,"650,000",Floor,6,4,217 Sq. M.,"Al Jabal, Khamis Mushait"
194,"620,000",Apartment,5,3,205 Sq. M.,"Ash Shamiya Al Jadid, Makkah"
194,"600,000",Apartment,4,3,179 Sq. M.,"Al Rayaan, North Jeddah, Jeddah"
194,"620,000",Apartment,3,2,111 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
194,"650,000",Floor,6,4,217 Sq. M.,"Al Jabal, Khamis Mushait"
194,"1,460,000",Apartment,6,3,198 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
194,"450,000",Apartment,5,3,213 Sq. M.,"Al Maealaa, Ahad Rafidah"
194,"600,000",Floor,6,4,219 Sq. M.,"Al Ghadir, Abha"
195,"750,000",Apartment,4,5,251 Sq. M.,"Governmental1, Jeddah"
195,"1,300,000",Villa,8,7,492 Sq. M.,"Al Muhammadiyah 1, Jazan"
195,"720,000",Apartment,5,3,201 Sq. M.,"Al Mohamdya, Makkah"
195,"720,000",Apartment,5,3,201 Sq. M.,"Al Mohamdya, Makkah"
195,"1,350,000",Villa,7,7,465 Sq. M.,"Al Zarqaa, Buraydah Al Qassim Region"
195,"1,350,000",Villa,7,7,465 Sq. M.,"Al Zarqaa, Buraydah Al Qassim Region"
195,"570,000",Apartment,5,3,187 Sq. M.,"Al Rayaan, North Jeddah, Jeddah"
195,"570,000",Apartment,5,3,187 Sq. M.,"Al Rayaan, North Jeddah, Jeddah"
195,"970,000",Floor,3,3,184 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
195,"930,000",Floor,3,3,156 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
195,"1,150,000",Floor,3,3,195 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
195,"750,000",Apartment,2,2,113 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
195,"1,200,000",Floor,3,3,222 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
195,"460,000",Apartment,4,3,132 Sq. M.,"As Salamah, Makkah"
195,"1,200,000",Villa,7,5,481 Sq. M.,"Ash Shamiya Al Jadid, Makkah"
195,"680,000",Floor,4,3,200 Sq. M.,"Al Ghadir, Abha"
195,"650,000",Apartment,3,3,176 Sq. M.,"Al Mraikh, North Jeddah, Jeddah"
195,"920,000",Apartment,2,2,214 Sq. M.,"Umm Al Rasf, Taif"
195,"500,000",Apartment,3,3,188 Sq. M.,"Al Muhammadiyah 2, Jazan"
195,"1,050,000",Villa,7,5,537 Sq. M.,"Al Mudhbah, Taif"
195,"500,000",Apartment,4,2,134 Sq. M.,"Al Manar, North Jeddah, Jeddah"
195,"3,800,000",Villa,6,6,300 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
195,"1,750,000",Villa,5,6,225 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
195,"1,350,000",Floor,5,3,185 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
195,"1,580,000",Floor,6,4,387 Sq. M.,"Al Salam, Madina"
196,"8,500,000",Residential Building,3,2,,"Al Rabwa, North Jeddah, Jeddah"
196,"730,000",Apartment,5,3,130 Sq. M.,"Al Naim, North Jeddah, Jeddah"
196,"1,250,000",Floor,6,4,450 Sq. M.,"Al Wafa Scheme, North Jeddah, Jeddah"
196,"550,000",Floor,5,3,166 Sq. M.,"Al Safa, Abha"
196,"730,000",Villa,7,5,275 Sq. M.,"Al Quhaib, Taif"
196,"1,400,000",Apartment,7,4,251 Sq. M.,"Corniche, Al Khobar"
196,"570,000",Apartment,4,3,128 Sq. M.,"Al Manar, North Jeddah, Jeddah"
196,"650,000",Apartment,4,3,154 Sq. M.,"Alawali, West Riyadh, Riyadh"
196,"650,000",Apartment,4,3,154 Sq. M.,"Alawali, West Riyadh, Riyadh"
196,"570,000",Apartment,5,3,128 Sq. M.,"Al Manar, North Jeddah, Jeddah"
196,"570,000",Apartment,5,3,128 Sq. M.,"Al Manar, North Jeddah, Jeddah"
196,"1,650,000",Apartment,5,6,206 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
196,"1,460,000",Apartment,6,3,198 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
196,"7,500,000",Building,N/A,N/A,"1,050 Sq. M.","Al Dar Al Baida, South Riyadh, Riyadh"
196,"1,350,000",Villa,7,7,275 Sq. M.,"Al Rahmanyah, North Jeddah, Jeddah"
196,"1,380,000",Villa,7,7,300 Sq. M.,"Al Rahmanyah, North Jeddah, Jeddah"
196,"1,380,000",Villa,7,7,300 Sq. M.,"Al Rahmanyah, North Jeddah, Jeddah"
196,"1,380,000",Villa,7,7,300 Sq. M.,"Al Rahmanyah, North Jeddah, Jeddah"
196,"1,350,000",Villa,7,7,275 Sq. M.,"Al Rahmanyah, North Jeddah, Jeddah"
196,"1,380,000",Villa,7,7,300 Sq. M.,"Al Rahmanyah, North Jeddah, Jeddah"
196,"550,000",Floor,6,4,222 Sq. M.,"Al Ghadir, Abha"
196,"950,000",Floor,3,3,195 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
196,"1,500,000",Apartment,4,4,149 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
196,"580,000",Apartment,10,4,317 Sq. M.,"Al Maealaa, Ahad Rafidah"
196,"1,500,000",Apartment,4,4,149 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
197,"1,900,000",Villa,8,7,350 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
197,"600,000",Apartment,5,3,240 Sq. M.,"Al Zarqaa, Buraydah Al Qassim Region"
197,"580,000",Apartment,10,4,317 Sq. M.,"Al Maealaa, Ahad Rafidah"
197,"600,000",Apartment,5,3,240 Sq. M.,"Al Zarqaa, Buraydah Al Qassim Region"
197,"800,000",Apartment,4,3,225 Sq. M.,"Al Safa, North Jeddah, Jeddah"
197,"1,100,000",Floor,3,3,276 Sq. M.,"Al Maizilah, East Riyadh, Riyadh"
197,"900,000",Floor,3,3,276 Sq. M.,"Al Maizilah, East Riyadh, Riyadh"
197,"2,500,000",Villa,6,8,446 Sq. M.,"Al Mahdiyah, West Riyadh, Riyadh"
197,"790,000",Apartment,6,3,178 Sq. M.,"Al Waha, North Jeddah, Jeddah"
197,"700,000",Floor,5,4,480 Sq. M.,Atoud
197,"790,000",Apartment,6,3,178 Sq. M.,"Al Waha, North Jeddah, Jeddah"
197,"620,000",Apartment,4,3,136 Sq. M.,"Shuran, Madina"
197,"600,000",Apartment,6,4,198 Sq. M.,"Al Shifa District, Khamis Mushait"
197,"600,000",Apartment,6,4,198 Sq. M.,"Al Shifa District, Khamis Mushait"
197,"2,500,000",Villa,12,9,300 Sq. M.,"Al Sheraa, North Jeddah, Jeddah"
197,"950,000",Floor,5,4,312 Sq. M.,"Al Riyadh, North Jeddah, Jeddah"
197,"1,850,000",Villa,9,6,322 Sq. M.,"Al Sawari, North Jeddah, Jeddah"
197,"950,000",Floor,5,4,312 Sq. M.,"Al Riyadh, North Jeddah, Jeddah"
197,"1,800,000",Villa,10,7,312 Sq. M.,"Al Zumorrud, North Jeddah, Jeddah"
197,"650,000",Apartment,4,3,125 Sq. M.,"Dhahrat Laban, West Riyadh, Riyadh"
197,"595,000",Apartment,5,3,126 Sq. M.,"Al Naseem, North Jeddah, Jeddah"
197,"480,000",Apartment,4,3,121 Sq. M.,"Al Waha, North Jeddah, Jeddah"
197,"850,000",Villa,7,7,230 Sq. M.,"Al Danah, Al Hofuf Eastern Region"
197,"1,700,000",Villa,7,7,390 Sq. M.,"Al Amwaj, Al Khobar"
197,"4,200,000",Villa,6,6,371 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
198,"4,200,000",Villa,6,6,371 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
198,"900,000",Apartment,2,3,109 Sq. M.,"Al Khuzama, Al Khobar"
198,"630,000",Apartment,4,3,132 Sq. M.,"Badr, South Riyadh, Riyadh"
198,"630,000",Apartment,4,3,132 Sq. M.,"Badr, South Riyadh, Riyadh"
198,"2,500,000",Villa,10,9,433 Sq. M.,"Madinat Al Bohairat, North Jeddah, Jeddah"
198,"780,000",Floor,6,4,218 Sq. M.,"Badr, South Riyadh, Riyadh"
198,"2,500,000",Villa,10,9,433 Sq. M.,"Madinat Al Bohairat, North Jeddah, Jeddah"
198,"780,000",Floor,6,4,218 Sq. M.,"Badr, South Riyadh, Riyadh"
198,"400,000",Apartment,4,3,138 Sq. M.,"Al Muhammadiyah 2, Jazan"
198,"520,000",Apartment,4,4,116 Sq. M.,"Badr, South Riyadh, Riyadh"
198,"510,000",Apartment,4,3,147 Sq. M.,"Al Hamra, Al Khobar"
198,"900,000",Villa,8,6,200 Sq. M.,"Al Sheraa, Al Khobar"
198,"550,000",Apartment,5,3,155 Sq. M.,"Umm Al Jud, Makkah"
198,"1,900,000",Villa,11,8,300 Sq. M.,"Al Yaqout, North Jeddah, Jeddah"
198,"540,000",Apartment,6,3,130 Sq. M.,"Al Rayaan, North Jeddah, Jeddah"
198,"1,900,000",Villa,11,8,300 Sq. M.,"Al Yaqout, North Jeddah, Jeddah"
198,"540,000",Apartment,6,3,130 Sq. M.,"Al Rayaan, North Jeddah, Jeddah"
198,"800,000",Apartment,3,3,120 Sq. M.,"Al Mahdiyah, West Riyadh, Riyadh"
198,"990,000",Apartment,3,3,478 Sq. M.,"Al Mahdiyah, West Riyadh, Riyadh"
198,"1,400,000",Floor,6,4,453 Sq. M.,"Al Riyadh, North Jeddah, Jeddah"
198,"500,000",Apartment,4,3,117 Sq. M.,"Umm Al Jud, Makkah"
198,"449,000",Apartment,6,4,245 Sq. M.,"Taibah, Al Jubail"
198,"580,000",Floor,6,4,226 Sq. M.,"Al Dhurfah, Khamis Mushait"
198,"600,000",Floor,6,4,216 Sq. M.,"Al Dhurfah, Khamis Mushait"
198,"1,500,000",Villa,10,5,465 Sq. M.,"Sharqia, Abha"
199,"610,000",Apartment,4,3,136 Sq. M.,"Shuran, Madina"
199,"659,000",Apartment,5,4,184 Sq. M.,"Al Shulah, Dammam"
199,"600,000",Floor,6,4,216 Sq. M.,"Al Dhurfah, Khamis Mushait"
199,"450,000",Apartment,5,5,199 Sq. M.,"Al Aziziyah, Al Jubail"
199,"610,000",Apartment,4,3,137 Sq. M.,"Shuran, Madina"
199,"599,000",Apartment,5,4,198 Sq. M.,"Taibah, Al Jubail"
199,"599,000",Apartment,5,4,198 Sq. M.,"Taibah, Al Jubail"
199,"950,000",Villa,7,6,200 Sq. M.,"Al Hazm, Al Qatif"
199,"950,000",Villa,7,6,200 Sq. M.,"Al Hazm, Al Qatif"
199,"950,000",Villa,7,6,200 Sq. M.,"Al Hazm, Al Qatif"
199,"950,000",Villa,7,6,200 Sq. M.,"Al Hazm, Al Qatif"
199,"659,000",Apartment,5,4,184 Sq. M.,"Al Shulah, Dammam"
199,"610,000",Apartment,4,3,142 Sq. M.,"Shuran, Madina"
199,"770,000",Villa,9,6,368 Sq. M.,"Al Raqi, Khamis Mushait"
199,"1,700,000",Villa,8,6,625 Sq. M.,"Al Qashashia Al Jadid, Makkah"
199,"1,250,000",Villa,14,9,392 Sq. M.,"As Salam, Makkah"
199,"1,250,000",Villa,14,9,392 Sq. M.,"As Salam, Makkah"
199,"800,000",Apartment,5,3,127 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
199,"460,000",Apartment,5,3,159 Sq. M.,"Um Assalum, South Jeddah, Jeddah"
199,"460,000",Apartment,5,3,159 Sq. M.,"Um Assalum, South Jeddah, Jeddah"
199,"420,000",Apartment,5,3,130 Sq. M.,"Al Mraikh, North Jeddah, Jeddah"
199,"420,000",Apartment,5,3,130 Sq. M.,"Al Mraikh, North Jeddah, Jeddah"
199,"1,000,000",Apartment,4,4,162 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
199,"400,000",Apartment,4,3,148 Sq. M.,"Al Muhammadiyah 2, Jazan"
199,"410,000",Apartment,4,3,149 Sq. M.,"Al Suways 1, Jazan"
200,"540,000",Apartment,4,4,137 Sq. M.,"Badr, South Riyadh, Riyadh"
200,"980,000",Villa,8,6,310 Sq. M.,"Al jameen, Khamis Mushait"
200,"980,000",Villa,8,6,310 Sq. M.,"Al jameen, Khamis Mushait"
200,"340,000",Apartment,3,2,89 Sq. M.,"Al Waha, North Jeddah, Jeddah"
200,"620,000",Apartment,5,4,185 Sq. M.,"Al Safa, North Jeddah, Jeddah"
200,"650,000",Apartment,4,3,810 Sq. M.,"Badr, South Riyadh, Riyadh"
200,"550,000",Apartment,5,4,197 Sq. M.,"Al Jawhara, Dammam"
200,"670,000",Apartment,9,6,314 Sq. M.,"Al Maealaa, Ahad Rafidah"
200,"340,000",Apartment,3,2,89 Sq. M.,"Al Waha, North Jeddah, Jeddah"
200,"399,000",Apartment,3,2,121 Sq. M.,"Mudhainib, Madina"
200,"800,000",Apartment,5,3,127 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
200,"540,000",Apartment,4,4,137 Sq. M.,"Badr, South Riyadh, Riyadh"
200,"1,150,000",Floor,5,4,315 Sq. M.,"Al Wafa Scheme, North Jeddah, Jeddah"
200,"400,000",Apartment,4,3,148 Sq. M.,"Al Muhammadiyah 2, Jazan"
200,"399,000",Apartment,3,2,121 Sq. M.,"Mudhainib, Madina"
200,"650,000",Apartment,4,3,810 Sq. M.,"Badr, South Riyadh, Riyadh"
200,"780,000",Apartment,5,4,211 Sq. M.,"Al Naseem, Taif"
200,"780,000",Apartment,5,4,211 Sq. M.,"Al Naseem, Taif"
200,"1,600,000",Villa,11,8,467 Sq. M.,"Taiba District, North Jeddah, Jeddah"
200,"620,000",Floor,5,3,166 Sq. M.,"Badr, South Riyadh, Riyadh"
200,"1,600,000",Villa,11,8,467 Sq. M.,"Taiba District, North Jeddah, Jeddah"
200,"970,000",Floor,6,3,179 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
200,"970,000",Floor,6,3,179 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
200,"1,250,000",Villa,10,9,342 Sq. M.,"Badr, South Riyadh, Riyadh"
200,"1,250,000",Villa,10,6,343 Sq. M.,"Badr, South Riyadh, Riyadh"
201,"450,000",Apartment,6,3,190 Sq. M.,"Western Heila District, Muhayil"
201,"1,250,000",Villa,10,9,342 Sq. M.,"Badr, South Riyadh, Riyadh"
201,"960,000",Floor,5,3,209 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
201,"1,250,000",Floor,4,4,149 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
201,"1,250,000",Villa,10,6,343 Sq. M.,"Badr, South Riyadh, Riyadh"
201,"800,000",Villa,6,5,268 Sq. M.,"Al Rabiyah, Al Hofuf Eastern Region"
201,"450,000",Apartment,6,3,190 Sq. M.,"Western Heila District, Muhayil"
201,"800,000",Villa,6,5,268 Sq. M.,"Al Rabiyah, Al Hofuf Eastern Region"
201,"475,000",Apartment,4,3,149 Sq. M.,"Al Sakb, Madina"
201,"1,950,000",Villa,8,7,381 Sq. M.,"Al Sawari, Al Khobar"
201,"660,000",Floor,7,4,218 Sq. M.,"Al Suways 1, Jazan"
201,"550,000",Apartment,6,4,212 Sq. M.,"Al Dhurfah, Khamis Mushait"
201,"650,000",Apartment,4,3,138 Sq. M.,"Umm Al Jud, Makkah"
201,"650,000",Apartment,4,3,138 Sq. M.,"Umm Al Jud, Makkah"
201,"1,250,000",Floor,4,4,149 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
201,"570,000",Apartment,5,3,160 Sq. M.,"Governmental1, Jeddah"
201,"620,000",Apartment,5,4,190 Sq. M.,"Umm Al Jud, Makkah"
201,"570,000",Apartment,6,4,221 Sq. M.,"Al Shulah, Dammam"
201,"475,000",Apartment,4,3,149 Sq. M.,"Al Sakb, Madina"
201,"580,000",Apartment,5,3,154 Sq. M.,"Al Waha, North Jeddah, Jeddah"
201,"850,000",Apartment,3,3,129 Sq. M.,"Al Mahdiyah, West Riyadh, Riyadh"
201,"800,000",Apartment,3,3,140 Sq. M.,"Al Mahdiyah, West Riyadh, Riyadh"
201,"950,000",Apartment,4,3,163 Sq. M.,"Al Mahdiyah, West Riyadh, Riyadh"
201,"820,000",Apartment,3,3,108 Sq. M.,"Al Mahdiyah, West Riyadh, Riyadh"
201,"800,000",Apartment,3,3,478 Sq. M.,"Al Mahdiyah, West Riyadh, Riyadh"
202,"2,450,000",Villa,5,6,235 Sq. M.,"Al Mahdiyah, West Riyadh, Riyadh"
202,"450,000",Apartment,4,3,149 Sq. M.,"Al Suways 1, Jazan"
202,"550,000",Apartment,3,3,122 Sq. M.,"Al Rayyan, Taif"
202,"500,000",Apartment,5,4,220 Sq. M.,"King Fahd Suburb, Dammam"
202,"7,000,000",Rest House,4,4,"2,520 Sq. M.","Al Rimal, East Riyadh, Riyadh"
202,"850,000",Villa,8,7,230 Sq. M.,"Al Danah, Al Hofuf Eastern Region"
202,"620,000",Apartment,6,4,184 Sq. M.,"Al Wahah, Dammam"
202,"609,000",Apartment,6,4,184 Sq. M.,"Al Wahah, Dammam"
202,"700,000",Villa,7,5,303 Sq. M.,"As Sulaymaniyah, Taif"
202,"1,650,000",Floor,3,3,198 Sq. M.,"Qurtubah, East Riyadh, Riyadh"
202,"1,200,000",Floor,3,5,230 Sq. M.,"Al Khaleej, East Riyadh, Riyadh"
202,"565,000",Apartment,4,3,119 Sq. M.,"Al Manar, North Jeddah, Jeddah"
202,"1,800,000",Villa,13,10,540 Sq. M.,"Al Murjan, East Riyadh, Riyadh"
202,"300,000",Apartment,3,2,81 Sq. M.,"Al Rayaan, North Jeddah, Jeddah"
202,"720,000",Villa,7,5,303 Sq. M.,"As Sulaymaniyah, Taif"
202,"599,000",Apartment,5,4,198 Sq. M.,"Taibah, Al Jubail"
202,"449,000",Apartment,6,4,245 Sq. M.,"Taibah, Al Jubail"
202,"450,000",Apartment,5,5,199 Sq. M.,"Al Aziziyah, Al Jubail"
202,"950,000",Villa,7,6,200 Sq. M.,"Al Hazm, Al Qatif"
202,"950,000",Villa,7,6,200 Sq. M.,"Al Hazm, Al Qatif"
202,"950,000",Villa,7,6,200 Sq. M.,"Al Hazm, Al Qatif"
202,"610,000",Apartment,4,3,142 Sq. M.,"Shuran, Madina"
202,"950,000",Villa,7,6,200 Sq. M.,"Al Hazm, Al Qatif"
202,"670,000",Floor,7,5,213 Sq. M.,"Shamasan, Abha"
202,"550,000",Apartment,5,4,211 Sq. M.,"Al Aziziyah, Al Jubail"
203,"2,750,000",Villa,13,9,369 Sq. M.,"Al Bayan Neighborhood, East Riyadh, Riyadh"
203,"850,000",Apartment,4,3,136 Sq. M.,"Al Naim, North Jeddah, Jeddah"
203,"1,300,000",Villa,8,6,345 Sq. M.,"Al Safa, Abu Arish"
203,"1,250,000",Villa,9,6,448 Sq. M.,"Ash Shamiya Al Jadid, Makkah"
203,"1,300,000",Villa,8,6,345 Sq. M.,"Al Safa, Abu Arish"
203,"1,250,000",Villa,9,6,448 Sq. M.,"Ash Shamiya Al Jadid, Makkah"
203,"570,000",Apartment,5,3,198 Sq. M.,"Ar Rehab 3, Jazan"
203,"450,000",Apartment,6,3,146 Sq. M.,"Ash Shamiya Al Jadid, Makkah"
203,"570,000",Apartment,5,3,198 Sq. M.,"Ar Rehab 3, Jazan"
203,"2,100,000",Villa,9,6,328 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
203,"350,000",Villa,8,3,444 Sq. M.,"Al Rawdah, Shaqra Riyadh Region"
203,"570,000",Apartment,5,3,198 Sq. M.,"Ar Rehab 3, Jazan"
203,"450,000",Apartment,6,3,146 Sq. M.,"Ash Shamiya Al Jadid, Makkah"
203,"850,000",Apartment,4,3,136 Sq. M.,"Al Naim, North Jeddah, Jeddah"
203,"550,000",Apartment,5,4,211 Sq. M.,"Al Aziziyah, Al Jubail"
203,"570,000",Apartment,5,3,198 Sq. M.,"Ar Rehab 3, Jazan"
203,"1,700,000",Villa,8,6,625 Sq. M.,"Al Qashashia Al Jadid, Makkah"
203,"350,000",Villa,8,3,444 Sq. M.,"Al Rawdah, Shaqra Riyadh Region"
203,"570,000",Apartment,5,3,198 Sq. M.,"Ar Rehab 3, Jazan"
203,"570,000",Apartment,5,3,198 Sq. M.,"Ar Rehab 3, Jazan"
203,"2,100,000",Villa,9,6,328 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
203,"1,000,000",Apartment,4,4,162 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
203,"540,000",Apartment,4,4,137 Sq. M.,"Badr, South Riyadh, Riyadh"
203,"1,100,000",Villa,10,5,399 Sq. M.,"Ar Rawdah, Al Jubail"
203,"650,000",Apartment,6,5,225 Sq. M.,"Al Shati, Jazan"
204,"620,000",Apartment,5,4,185 Sq. M.,"Al Safa, North Jeddah, Jeddah"
204,"1,150,000",Floor,5,4,315 Sq. M.,"Al Wafa Scheme, North Jeddah, Jeddah"
204,"770,000",Apartment,4,4,140 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
204,"1,350,000",Villa,7,6,553 Sq. M.,"Umm Al Rasf, Taif"
204,"770,000",Apartment,4,4,140 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
204,"1,350,000",Villa,7,6,553 Sq. M.,"Umm Al Rasf, Taif"
204,"900,000",Villa,9,5,373 Sq. M.,"Al Wurud, Abu Arish"
204,"980,000",Villa,8,6,319 Sq. M.,"Al Aziziyah, Al Jubail"
204,"1,400,000",Villa,8,7,300 Sq. M.,"Al Rahmanyah, North Jeddah, Jeddah"
204,"980,000",Villa,8,6,319 Sq. M.,"Al Aziziyah, Al Jubail"
204,"550,000",Apartment,6,4,223 Sq. M.,"Ar Rawabi, Abha"
204,"570,000",Apartment,5,3,160 Sq. M.,"Governmental1, Jeddah"
204,"660,000",Floor,7,4,218 Sq. M.,"Al Suways 1, Jazan"
204,"480,000",Apartment,4,2,148 Sq. M.,"Al Shorouq, North Jeddah, Jeddah"
204,"1,250,000",Floor,4,4,149 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
204,"1,030,000",Apartment,6,4,206 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
204,"950,000",Floor,5,5,300 Sq. M.,"Al Qryniah, South Jeddah, Jeddah"
204,"800,000",Apartment,4,5,154 Sq. M.,"Al Khour, Al Khobar"
204,"1,000,000",Floor,5,3,282 Sq. M.,"Al Qryniah, South Jeddah, Jeddah"
204,"800,000",Apartment,4,5,154 Sq. M.,"Al Khour, Al Khobar"
204,"1,000,000",Villa,8,6,480 Sq. M.,"Al Ufuq, Al Worod, Buraydah Al Qassim Region"
204,"675,000",Apartment,7,3,195 Sq. M.,"Al Rayaan, North Jeddah, Jeddah"
204,"1,250,000",Floor,4,4,149 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
204,"675,000",Apartment,7,3,195 Sq. M.,"Al Rayaan, North Jeddah, Jeddah"
204,"470,000",Apartment,4,2,134 Sq. M.,"Al Mraikh, North Jeddah, Jeddah"
205,"470,000",Apartment,4,2,134 Sq. M.,"Al Mraikh, North Jeddah, Jeddah"
205,"480,000",Apartment,4,2,148 Sq. M.,"Al Shorouq, North Jeddah, Jeddah"
205,"1,250,000",Floor,4,4,149 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
205,"1,000,000",Villa,8,6,480 Sq. M.,"Al Ufuq, Al Worod, Buraydah Al Qassim Region"
205,"620,000",Apartment,5,4,190 Sq. M.,"Umm Al Jud, Makkah"
205,"760,000",Villa,5,7,235 Sq. M.,"Sharqia, Abha"
205,"1,050,000",Floor,5,4,300 Sq. M.,"Al Rahmanyah, North Jeddah, Jeddah"
205,"440,000",Apartment,5,3,125 Sq. M.,"Al Rayaan, North Jeddah, Jeddah"
205,"1,200,000",Villa,7,5,312 Sq. M.,"Al Riyadh, North Jeddah, Jeddah"
205,"1,200,000",Villa,7,6,200 Sq. M.,"Al Khomrah, South Jeddah, Jeddah"
205,"560,000",Apartment,6,4,248 Sq. M.,"Al Aziziyah, Al Jubail"
205,"560,000",Apartment,6,4,248 Sq. M.,"Al Aziziyah, Al Jubail"
205,"1,400,000",Floor,6,5,375 Sq. M.,"Dahiat Namar, West Riyadh, Riyadh"
205,"500,000",Apartment,7,4,200 Sq. M.,"Al Maealaa, Ahad Rafidah"
205,"480,000",Apartment,4,3,146 Sq. M.,"Al Mraikh, North Jeddah, Jeddah"
205,"480,000",Apartment,4,3,146 Sq. M.,"Al Mraikh, North Jeddah, Jeddah"
205,"450,000",Apartment,5,3,195 Sq. M.,"Ar Rehab 1, Jazan"
205,"450,000",Apartment,5,3,195 Sq. M.,"Ar Rehab 1, Jazan"
205,"680,000",Apartment,5,4,184 Sq. M.,"Batha Quraysh, Makkah"
205,"680,000",Apartment,5,4,184 Sq. M.,"Batha Quraysh, Makkah"
205,"900,000",Villa,8,5,463 Sq. M.,"Al Quds, Al Rass"
205,"530,000",Apartment,5,3,171 Sq. M.,"Al Muntazahat, South Jeddah, Jeddah"
